id,order_date,ship_mode,customer_id,sales
103331,8/26/2014,Standard,KB-16315,31.4
103366,1/15/2014,First,EH-13990,149.95
103373,5/18/2014,Standard,BS-11755,779.796
103401,11/21/2014,Standard,GR-14560,12.96
103429,5/30/2014,First,LW-16825,765.494
103492,10/10/2014,Standard,CM-12715,1488.774
103527,9/9/2014,Second,CC-12220,10.896
103590,11/30/2014,Standard,JL-15505,62.28
103660,8/25/2014,Standard,MW-18220,1007.944
103702,9/12/2014,Standard,AF-10885,63.924
103744,2/23/2014,Standard,MG-17875,11.364
103800,1/3/2014,Standard,DP-13000,16.448
103807,12/2/2014,Standard,EM-13825,21.19
103849,5/11/2014,Standard,PG-18895,225.016
103940,9/17/2014,Standard,BN-11515,260.79
103989,3/19/2014,First,MC-17605,590.762
104178,8/25/2014,Standard,JM-15265,176.14
104269,3/1/2014,Second,DB-13060,457.568
104283,6/27/2014,Standard,LM-17065,616.14
104402,6/17/2014,Standard,DB-13660,65.97
104472,6/2/2014,Standard,CK-12325,133.128
104563,3/7/2014,Standard,CM-12715,1143.822
104738,12/30/2014,Second,SP-20620,609.614
104773,12/8/2014,Standard,TB-21175,60.416
104780,5/21/2014,Standard,BT-11530,31.84
104808,2/4/2014,Second,MH-17440,17.248
104829,11/18/2014,Second,JG-15805,21.98
104976,12/9/2014,Standard,CK-12760,34.68
105165,9/7/2014,First,SZ-20035,469.043
105172,4/4/2014,Standard,PK-18910,18.9
105249,11/28/2014,Same Day,DH-13675,460.092
105270,11/11/2014,Standard,AP-10915,143.128
105340,11/22/2014,First,EH-14185,6.928
105417,1/7/2014,Standard,VS-21820,87.158
105648,3/3/2014,Standard,EJ-14155,626.352
105872,5/30/2014,Standard,JG-15160,70.368
105893,11/11/2014,Standard,PK-19075,665.88
105984,11/24/2014,Same Day,MY-18295,1661.028
106054,1/6/2014,First,JO-15145,12.78
106229,6/7/2014,Second,NR-18550,268.935
106264,12/26/2014,Standard,CK-12595,15.39
106376,12/5/2014,Standard,BS-11590,1280.992
106439,10/31/2014,Standard,GG-14650,1007.936
106572,9/5/2014,Standard,NP-18700,264.32
106719,8/24/2014,Same Day,RB-19645,8.288
106726,12/6/2014,First,RS-19765,1261.33
106803,12/29/2014,Standard,DC-13285,144.36
106810,5/14/2014,Standard,AJ-10795,310.88
106971,9/2/2014,Standard,BM-11785,475.944
107139,7/5/2014,Standard,DP-13390,180.96
107153,9/28/2014,Standard,GZ-14545,46.26
107181,2/4/2014,Standard,DB-13270,117.136
107398,8/25/2014,Standard,BS-11590,30.246
107454,11/2/2014,Standard,RD-19720,124.2
107524,3/2/2014,Standard,KN-16705,47.76
107573,12/12/2014,Standard,PB-19150,23.472
107594,7/2/2014,Standard,EH-13945,79.56
107706,2/14/2014,Second,ST-20530,16.176
107755,2/7/2014,Standard,CK-12760,115.36
107769,10/28/2014,Standard,BT-11395,257.98
107811,4/29/2014,Standard,LA-16780,661.504
107818,9/8/2014,Standard,MC-17275,1771.52
107916,8/24/2014,First,JP-15460,25.952
108147,6/8/2014,Standard,RD-19480,1745.36
108182,2/6/2014,Second,DL-13315,8.952
108189,10/2/2014,First,ES-14080,598.144
108273,12/16/2014,Standard,EJ-13720,92.856
108609,10/31/2014,Second,AJ-10780,1421.664
108707,10/24/2014,Standard,DB-12910,10.368
108861,5/28/2014,Standard,MM-17260,136.96
108903,10/3/2014,Same Day,DO-13435,212.952
109043,8/15/2014,First,CS-12355,243.6
109127,12/21/2014,Standard,JC-15775,17.28
109134,11/5/2014,Standard,DE-13255,20.04
109218,6/30/2014,Second,AR-10825,32.4
109232,1/13/2014,Second,ND-18370,545.94
109302,8/12/2014,Standard,CS-12175,196.21
109491,2/20/2014,Standard,LC-16930,82.63
109680,10/6/2014,First,VP-21760,386.34
109855,9/1/2014,Standard,LH-16900,380.744
109890,7/21/2014,Standard,PG-18820,35.98
109897,8/12/2014,Standard,BW-11200,891.776
109904,7/14/2014,Second,BF-10975,17.94
109918,9/7/2014,Second,LR-17035,131.84
109932,12/9/2014,First,VP-21760,247.784
110030,12/6/2014,Second,LF-17185,23.976
110065,8/5/2014,Standard,SP-20650,151.95
110072,10/22/2014,Standard,MG-17680,93.888
110100,4/25/2014,Standard,LC-16885,302.376
110184,7/12/2014,Standard,BF-11170,505.686
110219,5/5/2014,First,EB-13870,127.869
110352,11/23/2014,Standard,ED-13885,23.68
110408,10/18/2014,Second,AS-10225,2216.8
110422,1/21/2014,Second,TB-21400,25.248
110527,8/9/2014,Standard,ED-13885,20.88
110555,4/11/2014,Standard,MM-18055,410.104
110611,10/6/2014,Standard,JD-16015,83.92
110639,8/23/2014,Same Day,RH-19495,71.84
110786,12/29/2014,Standard,AJ-10795,1365.63
110849,4/18/2014,Standard,JL-15835,323.458
111003,6/1/2014,Standard,CR-12625,334.68
111059,2/3/2014,Second,TB-21400,97.112
111150,12/31/2014,Standard,RW-19630,77.21
111157,3/2/2014,Standard,NH-18610,154.624
111192,7/30/2014,Standard,TS-21430,1367.84
111360,11/24/2014,Standard,AT-10435,5.742
111451,12/26/2014,First,KL-16555,855.272
111500,8/17/2014,Standard,DJ-13510,484.79
111773,6/29/2014,Standard,JK-15625,13.92
111857,4/23/2014,Second,NM-18445,48.91
111871,3/18/2014,Second,EK-13795,1198.33
111899,5/4/2014,First,NC-18340,43.312
111934,5/5/2014,First,GD-14590,47.32
111962,9/29/2014,Standard,EB-14170,817.798
112158,12/2/2014,First,DP-13165,1050.6
112291,4/3/2014,Standard,KE-16420,233.45
112326,1/4/2014,Standard,PO-19195,288.06
112403,3/31/2014,Same Day,JO-15280,0.852
112718,12/16/2014,Standard,KN-16450,1.167
112837,9/11/2014,Standard,LW-17125,127.95
112851,9/17/2014,Standard,NR-18550,182.94
113047,10/24/2014,Same Day,AP-10915,11.85
113166,12/24/2014,First,LF-17185,9.568
113257,12/16/2014,Second,SC-20305,328.592
113271,7/9/2014,Standard,DS-13030,172.097
113320,12/12/2014,Second,LH-17155,30.72
113362,9/14/2014,Standard,AJ-10960,460.22
113383,9/10/2014,First,SF-20065,336.82
113579,12/13/2014,Second,KD-16345,90.24
113768,5/13/2014,Standard,AH-10030,287.456
113859,9/13/2014,Standard,BC-11125,340.116
113880,3/1/2014,Standard,VF-21715,651.588
113887,4/5/2014,First,TH-21550,55.48
113929,6/16/2014,Standard,CK-12205,115.952
113964,9/23/2014,Standard,JP-16135,18.464
114125,7/9/2014,Standard,GH-14410,68.704
114181,5/10/2014,Second,AF-10885,372.285
114195,11/1/2014,First,EA-14035,94.264
114251,11/5/2014,Standard,MD-17350,1476.834
114314,10/11/2014,Standard,DB-13555,16.23
114321,8/20/2014,Standard,NC-18535,1417.35
114335,9/28/2014,Standard,XP-21865,337.088
114433,5/13/2014,Standard,NP-18325,149.97
114510,3/14/2014,Standard,JF-15295,280.276
114517,12/23/2014,Standard,TH-21235,109.836
114643,6/13/2014,Standard,FM-14215,14.52
114790,3/11/2014,Second,FM-14215,782.63
115049,9/26/2014,Standard,MM-17920,153.824
115056,5/2/2014,Same Day,AR-10510,26.136
115084,10/18/2014,Standard,LS-17200,605.34
115133,9/26/2014,Standard,DA-13450,52.752
115161,1/31/2014,First,LC-17050,290.666
115259,8/25/2014,Second,RC-19960,199.256
115336,11/18/2014,Standard,AB-10600,14.48
115357,8/6/2014,Second,RF-19735,62.91
115791,1/16/2014,Second,DL-13315,299.964
115812,6/9/2014,Standard,BH-11710,3714.304
115889,11/2/2014,Standard,SH-20395,409.304
115973,11/24/2014,First,NG-18430,2.624
115980,7/15/2014,Standard,VW-21775,9.51
116190,7/26/2014,Standard,SG-20470,256.48
116239,3/4/2014,Same Day,CL-12565,354.9
116246,9/12/2014,Second,LW-17215,3785.292
116407,11/15/2014,Standard,JF-15190,362.176
116568,12/14/2014,Standard,BM-11785,186.304
116666,5/8/2014,First,KT-16480,1799.97
116673,12/15/2014,Second,JO-15280,6.16
116757,6/30/2014,Standard,MS-17980,47.232
116785,4/26/2014,Standard,MH-17290,34
116834,10/11/2014,Standard,Dp-13240,408.47
116904,9/23/2014,Standard,SC-20095,9900.19
116932,7/21/2014,Standard,ME-18010,1173.616
117016,3/4/2014,Standard,SC-20095,15.552
117317,10/19/2014,Same Day,JF-15490,13.44
117345,8/1/2014,Standard,BF-10975,202.896
117429,10/7/2014,Standard,MR-17545,129.92
117464,7/22/2014,Second,NP-18325,1136.092
117478,9/21/2014,First,LH-16750,6.57
117639,5/21/2014,Standard,MW-18235,3333.9
117709,5/4/2014,Standard,PM-18940,46.8
117765,9/7/2014,Standard,RB-19465,643.78
118192,1/13/2014,Standard,MM-17920,40.846
118276,12/29/2014,Standard,MG-17890,8.736
118304,4/29/2014,Standard,KH-16360,19.98
118339,3/17/2014,Standard,BN-11515,249.92
118962,8/5/2014,Standard,CS-12130,472.044
118976,4/28/2014,Standard,MY-18295,526.96
119032,11/27/2014,Standard,MS-17770,3.76
119144,11/16/2014,First,JD-16150,730.8525
119151,11/25/2014,Second,MP-18175,1393.872
119172,5/11/2014,Standard,HD-14785,122.052
119375,11/17/2014,Standard,YC-21895,3116.49
119466,12/15/2014,Standard,SP-20860,8.544
119529,11/3/2014,Second,DM-13345,5.76
119977,10/8/2014,Second,DN-13690,123.92
120096,7/4/2014,First,KE-16420,209.968
120243,12/27/2014,Second,AT-10435,11.56
120278,11/7/2014,Standard,MS-17365,317.48
120411,9/20/2014,First,SB-20185,504.55
120432,8/24/2014,Second,DW-13585,25.5
120474,12/1/2014,First,RP-19390,2854.48
120544,11/23/2014,Standard,SS-20140,46.088
120670,11/2/2014,Standard,JK-16120,799.92
120768,12/19/2014,Second,IM-15070,1979.89
120775,10/3/2014,Standard,RD-19930,57.908
120838,3/23/2014,Second,PO-18865,935.152
120852,12/20/2014,Standard,WB-21850,84.872
120887,9/27/2014,Standard,TS-21205,87.54
120950,11/6/2014,Standard,GA-14515,43.68
121006,11/10/2014,Standard,SC-20020,1194.87
121167,11/28/2014,Second,MO-17500,17.248
121286,11/4/2014,Second,ON-18715,66.616
121573,11/3/2014,Standard,SG-20605,840.712
121629,11/28/2014,Standard,BT-11680,998.85
121664,5/6/2014,Standard,HP-14815,140.736
121727,8/19/2014,Standard,JK-15625,10.72
121762,2/14/2014,Standard,ML-17395,560.55
121769,4/8/2014,Standard,JS-15880,172.11
122070,4/22/2014,Second,AH-10030,257.752
122217,11/24/2014,Standard,HP-14815,111.15
122336,4/13/2014,Second,JD-15895,630.746
122567,2/16/2014,Standard,MN-17935,9.04
122588,11/25/2014,Second,AR-10540,52.96
122609,11/12/2014,Standard,DP-13000,153.112
122679,7/22/2014,Standard,AB-10255,19.68
122749,12/3/2014,Standard,NG-18430,479.96
122882,9/7/2014,Standard,SB-20290,539.074
122931,9/29/2014,Standard,SM-20950,2358.672
123064,6/30/2014,First,RA-19915,5.248
123127,9/8/2014,Standard,SP-20620,16.78
123225,7/11/2014,First,MN-17935,586.336
123253,8/22/2014,Second,DE-13255,3.912
123260,8/26/2014,Standard,FM-14290,176.8
123295,7/18/2014,Same Day,AH-10120,259.136
123316,10/13/2014,Standard,SP-20545,7.752
123323,11/7/2014,Standard,LH-16900,123.144
123344,9/24/2014,Standard,JD-16060,211.96
123400,2/2/2014,Standard,EB-13930,199.296
123477,1/18/2014,Second,DW-13195,64.864
123498,11/7/2014,First,TC-20980,100.398
123855,6/18/2014,Standard,MC-18100,139.8
123925,12/17/2014,Second,RF-19840,40.05
124023,4/7/2014,First,PJ-19015,8.96
124079,12/13/2014,Standard,RF-19345,93.174
124247,12/16/2014,Standard,SH-20635,1403.92
124394,10/17/2014,Second,TB-21520,130.756
124429,5/27/2014,Same Day,MH-17785,926.44
124464,7/14/2014,Standard,SS-20515,39.48
124478,8/8/2014,Standard,MA-17560,1109.725
124513,9/21/2014,Standard,SL-20155,66.03
124618,5/2/2014,Second,CS-11860,479.984
124646,6/22/2014,First,DV-13465,663.75
124688,8/27/2014,First,CC-12610,1812.01
124702,11/18/2014,Standard,MH-17785,867.74
124709,7/27/2014,Second,GW-14605,238
124723,8/5/2014,Standard,GZ-14470,489.23
124730,11/26/2014,Same Day,LS-17245,414.63
124737,8/23/2014,Standard,AP-10915,424.376
124807,7/12/2014,Second,ME-17725,59.696
124856,9/29/2014,Second,LD-17005,1609.32
125136,9/28/2014,Standard,KD-16495,106.944
125150,5/16/2014,Standard,PW-19030,232.88
125171,9/3/2014,Same Day,AG-10390,14.4
125514,9/21/2014,First,BM-11650,68.71
125542,12/5/2014,First,NB-18655,521.224
125556,11/14/2014,Second,ML-17410,876.73
125612,8/3/2014,Standard,BK-11260,163.62
125682,11/22/2014,First,RB-19645,9.96
125731,9/10/2014,Standard,CL-12565,1508.768
125759,2/8/2014,First,NM-18445,14.56
125829,11/4/2014,Standard,WB-21850,1729.416
125997,9/20/2014,First,MW-18220,3519.37
126032,6/23/2014,Standard,BS-11665,86.376
126193,9/7/2014,Standard,SS-20410,321.978
126200,8/25/2014,Standard,JE-15715,38.064
126277,9/13/2014,Second,LH-16900,2.502
126333,12/23/2014,Standard,ME-18010,5.184
126361,8/4/2014,Second,VD-21670,2126.034
126403,9/9/2014,Second,RR-19525,2304.37
126480,9/20/2014,Standard,HG-14965,8.56
126522,9/1/2014,Second,LT-16765,53.94
126683,9/29/2014,Second,PP-18955,2354.98
126760,7/26/2014,Standard,KM-16720,1891.316
126802,12/29/2014,Standard,ZC-21910,38.976
126907,11/1/2014,Standard,SM-20950,15.696
126963,6/15/2014,Same Day,PS-18760,36.544
127012,8/11/2014,Standard,GM-14680,76.28
127131,11/24/2014,Standard,HR-14830,721.476
127159,5/12/2014,First,HL-15040,34.79
127166,5/21/2014,Second,KH-16360,186.908
127187,12/4/2014,Standard,CP-12085,129.98
127299,9/19/2014,Standard,JL-15835,2692.329
127383,12/31/2014,Standard,CM-11815,49.568
127446,11/25/2014,Standard,MC-17590,1273.623
127488,9/22/2014,Second,MS-17365,4.608
127523,5/11/2014,Standard,BG-11695,35.91
127558,11/15/2014,First,SS-20410,803.04
127586,9/26/2014,Standard,CS-12400,310.12
127614,2/11/2014,Standard,NF-18385,1508.13
127691,7/22/2014,Standard,EM-14065,165.94
127859,3/17/2014,Second,QJ-19255,126.624
127866,7/20/2014,First,JD-15895,602.43
127936,9/2/2014,First,CL-12565,21.24
127964,3/3/2014,Standard,AP-10720,161.07
128055,3/31/2014,Standard,AA-10315,726.548
128062,11/19/2014,Second,AD-10180,5.88
128146,6/21/2014,Standard,DB-13060,1326.69
128209,11/17/2014,Standard,GT-14710,6160.616
128237,3/25/2014,Standard,CA-12265,92.36
128524,11/11/2014,First,MZ-17515,2158.694
128538,10/11/2014,Standard,AS-10240,7.64
128622,11/15/2014,Second,SC-20260,10.95
128839,9/8/2014,Standard,TT-21070,254.97
128846,4/7/2014,Standard,RS-19765,752.92
128888,11/15/2014,Standard,PB-19105,604.656
128986,8/3/2014,Second,GH-14410,93.024
129091,11/22/2014,Standard,RA-19885,1022.61
129147,11/2/2014,Standard,LC-17050,609.438
129168,8/17/2014,Standard,KB-16585,15.552
129189,7/21/2014,Standard,HM-14860,751.886
129364,12/8/2014,Standard,TB-21250,265.784
129574,5/26/2014,First,Dp-13240,48.4
129819,12/13/2014,Second,KC-16675,12.39
129924,7/12/2014,Standard,AC-10420,706.064
129938,12/15/2014,Second,EB-13705,445.802
130092,1/11/2014,First,SV-20365,9.94
130155,5/19/2014,First,TD-20995,34.2
130274,5/3/2014,First,JS-15940,21.56
130421,3/3/2014,Standard,SC-20020,176.772
130428,3/31/2014,Same Day,TG-21640,1142.165
130449,9/6/2014,First,VP-21760,100.36
130575,12/14/2014,First,CS-11845,9.264
130624,6/21/2014,First,TB-21280,697.32
130673,5/20/2014,Second,MC-17590,108.444
130729,10/24/2014,Standard,AA-10375,34.272
130813,1/6/2014,Second,LS-17230,19.44
130869,11/17/2014,Standard,CB-12025,7.08
130918,8/22/2014,Second,JP-15520,7.632
130960,12/30/2014,Standard,KB-16600,9.84
131002,9/7/2014,Second,TB-21400,1040.19
131009,3/1/2014,Standard,SC-20380,574.194
131051,12/1/2014,Standard,TR-21325,58.2
131247,3/30/2014,Standard,GA-14725,205.666
131310,7/12/2014,Standard,CL-12565,134.4
131387,4/28/2014,First,AI-10855,1679.96
131450,8/8/2014,Standard,LR-16915,2049.816
131527,12/1/2014,Standard,TB-21280,95.968
131541,7/28/2014,Same Day,CK-12205,193.152
131800,12/30/2014,Standard,AJ-10960,158.388
131905,2/6/2014,First,ND-18460,321.56
131926,6/1/2014,Second,DW-13480,3745.63
131947,9/17/2014,Standard,JA-15970,318.293
132010,10/13/2014,First,MA-17995,389.74
132227,11/4/2014,Standard,SZ-20035,52.064
132451,9/26/2014,First,KF-16285,604.992
132500,9/8/2014,Standard,GZ-14470,49.98
132542,10/6/2014,Second,AM-10360,15.36
132612,6/9/2014,Second,FO-14305,1441.3
132787,9/19/2014,Standard,MC-18130,92.52
132801,10/7/2014,Standard,JG-15805,107.44
132864,12/2/2014,Standard,KN-16390,119.8
132913,12/24/2014,First,AS-10090,13.97
132962,9/13/2014,First,JM-15535,267.552
132983,4/28/2014,Standard,DS-13180,159.98
133158,8/19/2014,Second,DW-13195,358.696
133228,4/4/2014,Standard,MS-17710,84.83
133270,6/6/2014,First,BM-11785,13.36
133305,7/11/2014,Standard,MH-17455,67.4
133354,2/22/2014,First,SA-20830,19.44
133389,6/22/2014,Same Day,TB-21280,8.226
133424,3/30/2014,Standard,Dl-13600,60.24
133543,12/22/2014,Standard,KM-16660,11.76
133592,12/31/2014,Standard,KM-16375,2846.22
133634,11/5/2014,Standard,SR-20740,47.79
133690,8/3/2014,First,BS-11755,221.35
133704,9/20/2014,Standard,MA-17995,64.152
133753,6/9/2014,Second,CW-11905,142.344
133809,11/18/2014,Second,MS-17530,21.396
133830,12/5/2014,Standard,RL-19615,90.58
133851,6/9/2014,Standard,CM-12445,30.46
133963,5/18/2014,Second,GA-14515,3.984
134061,4/29/2014,Standard,LL-16840,17.46
134103,1/30/2014,Standard,MV-18190,240.5
134215,8/4/2014,Standard,ML-17395,617.12
134278,7/6/2014,First,EP-13915,559.992
134313,11/1/2014,Standard,RA-19915,2027.144
134551,12/20/2014,Standard,TS-21505,732.312
134572,4/20/2014,Second,SV-20365,1190.53
134621,12/21/2014,Standard,DP-13390,18.24
134677,10/6/2014,Standard,XP-21865,9.09
134726,11/2/2014,Second,SW-20755,94.732
135090,11/22/2014,Standard,SP-20920,53.82
135405,1/9/2014,Standard,MS-17830,40.544
135608,12/8/2014,Second,JK-15625,649.6
135657,6/3/2014,Second,SC-20725,515.88
135699,8/29/2014,Same Day,HH-15010,123.28
135755,5/3/2014,Standard,NC-18415,51.072
135993,5/28/2014,Standard,PJ-18835,85.008
136280,11/29/2014,Standard,Co-12640,5.04
136336,4/21/2014,Standard,DB-13555,828.84
136399,12/16/2014,First,CC-12100,1308.196
136567,12/20/2014,First,PS-19045,2884.37
136644,6/16/2014,Standard,SC-20575,647.84
136742,4/6/2014,Standard,GP-14740,44.91
136861,9/5/2014,First,PR-18880,31.984
137092,10/20/2014,Second,LS-16975,862.202
137274,3/29/2014,Standard,MG-18145,890.841
137351,9/30/2014,Standard,DB-13615,43.176
137575,8/6/2014,Standard,TB-21625,199.98
137589,11/3/2014,Standard,MS-17770,286.344
137911,10/9/2014,Standard,BP-11095,88.768
138023,8/15/2014,First,KH-16510,30.96
138072,12/30/2014,Standard,GA-14725,27.968
138100,9/15/2014,Standard,AA-10315,29.5
138128,12/9/2014,Standard,FP-14320,1110.648
138177,9/19/2014,Standard,ND-18460,73.915
138198,7/18/2014,Standard,JL-15130,13.904
138240,10/9/2014,Standard,SJ-20500,160.592
138296,12/5/2014,Standard,RC-19825,24.56
138317,6/21/2014,Standard,NW-18400,385.261
138359,4/1/2014,Standard,KH-16330,73.2
138436,3/26/2014,Standard,JD-15895,66.3
138450,10/18/2014,Standard,EH-13765,249.472
138513,5/23/2014,Standard,EH-13990,12.96
138527,9/12/2014,Standard,BN-11470,192.424
138681,12/20/2014,First,CT-11995,596.664
138709,7/4/2014,Standard,MS-17770,37.44
138737,12/7/2014,First,FP-14320,8.64
138940,4/11/2014,Second,GM-14455,758.352
139017,5/11/2014,Standard,RM-19375,46.864
139192,5/27/2014,Second,LC-16885,1213.494
139283,11/23/2014,Standard,BT-11440,14.67
139423,11/1/2014,Standard,DG-13300,76.12
139451,10/12/2014,Standard,DN-13690,36.29
139542,10/25/2014,Standard,EH-14185,54.474
139598,12/26/2014,Standard,MG-17695,361.608
139633,12/17/2014,Standard,EC-14050,5.484
139857,2/2/2014,Standard,CD-12790,12.35
139892,9/8/2014,Standard,BM-11140,10539.896
140004,3/21/2014,Standard,CB-12025,13.456
140032,9/8/2014,Standard,TS-21340,8.608
140039,9/13/2014,Standard,ON-18715,79.4
140165,5/13/2014,First,EH-14005,405.456
140228,4/28/2014,Standard,GB-14530,211.576
140396,11/20/2014,Standard,KH-16330,907.56
140403,10/10/2014,Same Day,TN-21040,137.632
140473,5/30/2014,Standard,MC-17425,719.976
140487,6/14/2014,Standard,SR-20425,212.94
140662,11/17/2014,First,TS-21205,1075.37
140732,11/11/2014,Second,MA-17560,707.628
140795,2/1/2014,First,BD-11500,468.9
140816,12/20/2014,Same Day,TC-21295,447.944
140858,6/28/2014,Standard,CA-12775,1639.711
140886,9/30/2014,Standard,KW-16570,69.216
141005,8/15/2014,First,CS-12355,62.94
141110,11/26/2014,Standard,LS-17200,67.112
141152,9/16/2014,First,RF-19345,33.552
141173,11/18/2014,Second,JC-16105,67.15
141278,6/21/2014,First,RM-19375,21.4
141299,6/3/2014,Second,RB-19795,15.28
141313,12/28/2014,Standard,AJ-10780,2583.19
141355,9/25/2014,Standard,BF-11005,14.576
141607,12/12/2014,Standard,WB-21850,43.31
141649,9/30/2014,Same Day,DM-12955,795.408
141726,7/20/2014,First,CC-12145,176.494
141796,6/21/2014,Same Day,JG-15160,1214.85
141817,1/5/2014,Standard,MB-18085,19.536
141838,3/26/2014,Second,DK-12835,60.08
141901,8/9/2014,Standard,GM-14500,5.98
142048,6/22/2014,First,JE-15745,196.752
142314,12/23/2014,Standard,SF-20200,207.24
142510,12/22/2014,Standard,NP-18700,274.096
142587,10/21/2014,First,TB-21520,531.382
142727,4/29/2014,Second,HG-14845,69.9
142769,9/13/2014,Same Day,RP-19390,561.73
142839,8/16/2014,Standard,TS-21610,853.092
142951,10/8/2014,Same Day,JG-15115,23.472
142965,7/20/2014,Same Day,SW-20245,53.344
142979,4/12/2014,Standard,EH-13765,39.68
143168,10/18/2014,Second,IG-15085,63.304
143182,10/15/2014,Standard,DL-12865,15.384
143210,12/1/2014,First,AA-10645,327.56
143336,8/27/2014,Second,ZD-21925,244.76
143371,12/28/2014,Standard,MD-17350,1049.97
143385,8/31/2014,Standard,SJ-20500,92.52
143413,5/24/2014,Standard,RP-19390,116.28
143637,3/24/2014,Second,MS-17710,40.48
143840,5/22/2014,Standard,EH-14185,180.93
143903,7/20/2014,Standard,KM-16375,1340.976
143917,7/25/2014,Second,KL-16645,8319.29
144029,5/26/2014,Standard,MM-18055,475.788
144071,12/8/2014,Standard,DJ-13420,119.32
144281,6/10/2014,Second,HK-14890,491.55
144407,9/9/2014,Standard,MS-17365,103.6
144414,6/17/2014,Standard,GH-14425,3290.516
144624,11/19/2014,Standard,JM-15865,4548.81
144666,11/9/2014,Second,JP-15520,1517.574
144974,9/26/2014,Standard,CM-12715,68.53
145212,9/13/2014,Standard,DC-12850,5.46
145254,7/23/2014,Standard,NC-18535,992.828
145317,3/18/2014,Standard,SM-20320,23661.228
145387,10/31/2014,Second,AM-10705,2116.506
145541,12/14/2014,Standard,TB-21400,6999.96
145576,9/14/2014,Second,CA-12775,26.128
145800,5/30/2014,Standard,SS-20410,355.455
145926,11/17/2014,Standard,MP-17470,479.9
146283,9/8/2014,Standard,KT-16465,1166.716
146500,8/30/2014,Standard,AT-10735,121.24
146528,7/25/2014,Second,VF-21715,22
146591,1/19/2014,First,TS-21340,378.594
146640,6/30/2014,Standard,HA-14905,334.768
146703,10/20/2014,Second,PO-18865,211.96
146731,11/3/2014,Standard,AT-10735,147.344
146815,9/8/2014,Standard,PP-18955,176.284
146843,11/30/2014,Standard,PB-19150,150.232
146864,12/22/2014,Standard,BT-11530,216.4
146885,5/30/2014,Standard,EB-13840,13.62
146969,9/29/2014,Standard,AP-10915,968.3
146990,11/7/2014,First,BP-11095,36.1
146997,1/23/2014,Standard,SG-20605,5.94
147235,3/24/2014,Standard,CD-11920,24.9
147298,4/26/2014,Standard,AG-10300,248.568
147543,7/6/2014,Standard,BC-11125,478.48
147900,9/23/2014,Standard,JK-15640,28.8
147914,6/4/2014,Standard,MP-17470,16.224
148040,3/22/2014,Standard,BF-11275,388.704
148285,10/27/2014,Standard,RD-19810,22.32
148369,9/23/2014,Standard,TH-21115,11.12
148383,12/27/2014,Standard,RP-19390,946.764
148425,11/30/2014,Standard,RF-19345,6.642
148488,12/10/2014,Standard,SM-20005,117.704
148586,3/25/2014,Standard,AZ-10750,366.786
148614,1/20/2014,Standard,MV-17485,38.66
148761,5/17/2014,Standard,PA-19060,91.68
148782,11/2/2014,Standard,PO-18850,88.776
148915,11/1/2014,Standard,ND-18370,599.896
148950,12/14/2014,Standard,JD-16015,43.016
149020,1/10/2014,Standard,AJ-10780,54.83
149055,11/23/2014,Standard,PB-19210,62.808
149104,4/5/2014,Second,RD-19900,770.61
149244,11/4/2014,Standard,MS-17530,35.34
149524,1/14/2014,First,BS-11590,61.96
149538,4/4/2014,Standard,KB-16585,364.93
